Address,Size Byte,Data Name,Description,Access,Initial Value
0,2,Model Number,Model Number,R,1030
2,4,Model Information,Model Information,R,-
6,1,Firmware Version,Firmware Version,R,-
7,1,ID,DYNAMIXEL ID,RW,1
8,1,Baud Rate,Communication Speed,RW,1
9,1,Return Delay Time,Response Delay Time,RW,250
10,1,Drive Mode,Default Rotation Direction,RW,0
11,1,Operating Mode,Operating Mode,RW,3
12,1,Secondary(Shadow) ID,Secondary(Shadow) ID,RW,255
13,1,Protocol Version,Protocol Version,RW,2
20,4,Homing Offset,Home Position Offset,RW,0
24,4,Moving Threshold,Velocity Threshold for Movement Detection,RW,10
31,1,Temperature Limit,Maximum Internal Temperature Limit,RW,80
32,2,Max Voltage Limit,Maximum Input Voltage Limit,RW,160
34,2,Min Voltage Limit,Minimum Input Voltage Limit,RW,95
36,2,PWM Limit,Maximum PWM Limit,RW,885
38,2,Current Limit,Maximum Current Limit,RW,1193
40,4,Acceleration Limit,Maximum Accleration Limit,RW,32767
44,4,Velocity Limit,Maximum Velocity Limit,RW,480
48,4,Max Position Limit,Maximum Position Limit,RW,4095
52,4,Min Position Limit,Minimum Position Limit,RW,0
63,1,Shutdown,Shutdown Error Information,RW,52
RAM,,,,,
64,1,Torque Enable,Motor Torque On/Off,RW,0
65,1,LED,Status LED On/Off,RW,0
68,1,Status Return Level,Select Types of Status Return,RW,2
69,1,Registered Instruction,Check Reception of Instruction,R,0
70,1,Hardware Error Status,Hardware Error Status,R,0
76,2,Velocity I Gain,I Gain of Velocity,RW,1920
78,2,Velocity P Gain,P Gain of Velocity,RW,100
80,2,Position D Gain,D Gain of Position,RW,0
82,2,Position I Gain,I Gain of Position,RW,0
84,2,Position P Gain,P Gain of Position,RW,800
88,2,Feedforward 2nd Gain,2nd Gain of Feed-Forward,RW,0
90,2,Feedforward 1st Gain,1st Gain of Feed-Forward,RW,0
98,1,Bus Watchdog,DYNAMIXEL Bus Watchdog,RW,0
100,2,Goal PWM,Desired PWM Value,RW,-
102,2,Goal Current,Desired Current Value,RW,-
104,4,Goal Velocity,Desired Velocity Value,RW,-
108,4,Profile Acceleration,Acceleration Value of Profile,RW,0
112,4,Profile Velocity,Velocity Value of Profile,RW,0
116,4,Goal Position,Desired Position Value,RW,-
120,2,Realtime Tick,Count Time in millisecond,R,-
122,1,Moving,Movement Status,R,0
123,1,Moving Status,Detailed Information of Movement Status,R,0
124,2,Present PWM,Present PWM Value,R,-
126,2,Present Current,Present Current Value,R,-
128,4,Present Velocity,Present Velocity Value,R,-
132,4,Present Position,Present Position Value,R,-
136,4,Velocity Trajectory,Desired Velocity Trajectory Generated by Profile,R,-
140,4,Position Trajectory,Desired Position Trajectory Generated by Profile,R,-
144,2,Present Input Voltage,Present Input Voltage,R,-
146,1,Present Temperature,Present Internal Temperature,R,-
